number, whites, reds, blues, greens, yellows, magentas, blacks, overlaps, density, texture, drips, weight
1156, 0.383784, 0.165401, 0.171226, 0.10546, 0.093364, 0.075852, 0.004913, 0.588433, 0.551526, 0.530796, 0.334334, 18.51
1157, 0.384228, 0.173353, 0.161121, 0.103775, 0.091919, 0.07529, 0.010315, 0.393076, 0.413429, 0.554568, 0.52427, 18.08
1158, 0.365879, 0.168859, 0.169227, 0.114743, 0.095503, 0.071682, 0.014108, 0.301137, 0.362281, 0.7099, 0.65526, 18.68
1159, 0.380672, 0.171883, 0.167987, 0.106876, 0.097006, 0.070834, 0.004742, 0.635933, 0.672081, 0.730431, 0.434189, 19.11
1160, 0.37826, 0.166193, 0.168326, 0.106118, 0.099944, 0.075641, 0.005519, 0.663709, 0.630875, 0.599059, 0.47694, 17.02
1161, 0.372195, 0.166244, 0.169846, 0.102649, 0.101962, 0.072137, 0.014967, 0.745075, 0.441555, 0.726548, 0.630998, 19.41
1162, 0.370134, 0.167471, 0.174363, 0.113951, 0.096918, 0.070928, 0.006235, 0.561573, 0.427276, 0.530872, 0.484159, 17.76
1163, 0.377584, 0.17259, 0.163246, 0.105167, 0.098345, 0.079009, 0.00406, 0.694833, 0.37678, 0.532981, 0.479375, 17.23
1164, 0.365885, 0.170554, 0.169066, 0.114199, 0.09792, 0.074217, 0.008158, 0.597972, 0.562543, 0.634129, 0.569135, 18.14
1165, 0.381815, 0.172413, 0.155782, 0.108475, 0.098586, 0.073846, 0.009083, 0.507924, 0.504834, 0.611509, 0.488465, 19.32
1166, 0.377432, 0.171192, 0.171266, 0.111471, 0.091422, 0.071595, 0.005623, 0.596435, 0.575674, 0.593336, 0.325469, 17.92
1167, 0.388146, 0.175816, 0.154353, 0.101227, 0.092436, 0.078185, 0.009837, 0.342045, 0.555513, 0.70287, 0.425739, 20.08
1168, 0.367476, 0.165509, 0.166717, 0.114239, 0.096218, 0.075273, 0.014568, 0.527719, 0.397313, 0.656267, 0.751521, 17.17
1169, 0.393579, 0.169137, 0.160702, 0.106532, 0.087222, 0.07348, 0.009348, 0.479097, 0.459617, 0.503787, 0.532719, 16.2
1170, 0.354775, 0.165393, 0.176457, 0.109977, 0.106444, 0.082101, 0.004854, 0.455547, 0.46362, 0.495139, 0.471929, 17.6
1171, 0.399197, 0.151736, 0.1514, 0.107207, 0.107095, 0.07233, 0.011034, 0.529804, 0.47474, 0.627131, 0.283089, 18.08
1172, 0.365607, 0.169459, 0.171702, 0.117854, 0.097254, 0.074128, 0.003996, 0.718088, 0.574785, 0.684484, 0.463695, 17.93
1173, 0.369141, 0.170991, 0.17226, 0.106007, 0.099737, 0.076954, 0.00491, 0.794565, 0.678065, 0.741301, 0.445762, 17.76
1174, 0.36418, 0.169614, 0.16463, 0.124396, 0.100568, 0.070392, 0.00622, 0.730848, 0.443732, 0.607224, 0.555413, 18.63
1175, 0.40447, 0.166564, 0.163409, 0.102653, 0.086503, 0.068747, 0.007655, 0.386683, 0.386047, 0.611502, 0.656767, 18.33
1176, 0.388256, 0.175893, 0.156986, 0.103513, 0.092706, 0.072063, 0.010583, 0.377846, 0.440373, 0.556259, 0.539903, 18.71
1177, 0.397326, 0.175463, 0.16642, 0.096386, 0.089063, 0.068665, 0.006676, 0.498314, 0.471494, 0.608228, 0.518596, 17.24
1178, 0.394711, 0.17291, 0.16513, 0.108684, 0.08119, 0.068584, 0.00879, 0.405066, 0.345232, 0.530511, 0.610229, 17.59
1179, 0.406037, 0.169101, 0.161079, 0.10427, 0.087312, 0.066846, 0.005354, 0.473666, 0.406318, 0.455128, 0.425479, 17.65
1180, 0.403974, 0.169207, 0.158219, 0.106959, 0.083651, 0.067557, 0.010433, 0.415864, 0.347945, 0.605954, 0.660186, 17.42
1181, 0.385166, 0.162395, 0.166824, 0.105223, 0.097592, 0.077354, 0.005446, 0.474017, 0.529109, 0.497359, 0.47343, 17.54
1182, 0.388614, 0.162436, 0.17122, 0.102397, 0.096218, 0.074574, 0.004541, 0.499436, 0.410387, 0.478114, 0.411753, 17.02
